City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Mount Gambier,AU,2022-09-10 03:31:50,-37.8333,140.7667,53.91,63,56,10.49
135,Marquard,ZA,2022-09-10 03:35:07,-28.6645,27.4305,50.47,23,0,3.85
136,Nueve De Julio,AR,2022-09-10 03:35:08,-35.4444,-60.8831,38.97,71,0,0.63
137,Inta,RU,2022-09-10 03:35:08,66.0317,60.1659,40.75,87,100,6.82
138,Namibe,AO,2022-09-10 03:35:08,-15.1961,12.1522,65.3,89,84,2.89
139,Naze,JP,2022-09-10 03:35:09,28.3667,129.4833,86.92,78,100,12.59
140,Broken Hill,AU,2022-09-10 03:35:09,-31.95,141.4333,61.45,45,20,13.29
141,Tromso,NO,2022-09-10 03:35:09,69.6496,18.957,48.22,87,75,4.61
142,Narsaq,GL,2022-09-10 03:30:41,60.9167,-46.05,46.62,62,100,4.43
143,Saint George,US,2022-09-10 03:29:56,37.1041,-113.5841,90.63,34,0,12.66
144,De-Kastri,RU,2022-09-10 03:35:10,51.4667,140.7833,71.4,50,21,4.34
145,Maldonado,UY,2022-09-10 03:30:26,-34.6667,-54.9167,49.23,64,79,16.13
146,Uvalde,US,2022-09-10 03:35:10,29.3669,-99.767,77.32,45,0,0.0
147,Kaitangata,NZ,2022-09-10 03:32:25,-46.2817,169.8464,51.12,71,2,4.94
148,Saint-Louis,SN,2022-09-10 03:35:10,16.3333,-15.0,74.61,73,100,11.18
149,Hit,IQ,2022-09-10 03:35:11,33.6416,42.8251,89.78,20,0,5.61
150,Pochutla,MX,2022-09-10 03:35:11,15.7432,-96.4661,76.82,91,82,1.63
151,Nuevo Progreso,MX,2022-09-10 03:35:12,23.1667,-97.95,79.54,74,65,2.64
152,Puerto Del Rosario,ES,2022-09-10 03:35:12,28.5004,-13.8627,73.15,83,100,13.8
153,Klaksvik,FO,2022-09-10 03:35:12,62.2266,-6.589,47.32,85,12,8.46
154,Jalu,LY,2022-09-10 03:35:12,29.0331,21.5482,75.69,39,0,5.59
155,Camacari,BR,2022-09-10 03:30:31,-12.6975,-38.3242,76.77,82,2,3.76
156,Egvekinot,RU,2022-09-10 03:35:13,66.3167,-179.1667,41.76,66,1,2.62
157,Bengkulu,ID,2022-09-10 03:35:13,-3.8004,102.2655,75.16,88,100,2.89
158,Aksu,CN,2022-09-10 03:35:14,41.1231,80.2644,86.47,14,8,3.62
159,Darhan,MN,2022-09-10 03:35:14,49.4867,105.9228,58.05,59,100,16.78
160,Kiruna,SE,2022-09-10 03:35:14,67.8557,20.2251,34.72,93,24,4.61
161,Khasan,RU,2022-09-10 03:35:14,42.4308,130.6434,68.18,67,22,8.41
162,Uyuni,BO,2022-09-10 03:35:15,-20.4597,-66.825,43.45,27,8,8.19
163,Flin Flon,CA,2022-09-10 03:35:15,54.7682,-101.865,47.01,66,100,8.41
164,Brest,BY,2022-09-10 03:35:15,52.1,23.7,51.3,93,100,8.55
165,Hilo,US,2022-09-10 03:35:16,19.7297,-155.09,82.13,76,0,9.22
166,Solhan,TR,2022-09-10 03:35:16,38.9634,41.0293,63.32,26,0,1.54
167,Trairi,BR,2022-09-10 03:35:16,-3.2778,-39.2689,76.86,82,5,12.15
168,Codrington,AU,2022-09-10 03:35:16,-38.2667,141.9667,53.22,65,82,17.52
169,La Crosse,US,2022-09-10 03:35:17,43.8014,-91.2396,68.56,89,100,4.0
170,Portland,US,2022-09-10 03:32:20,45.5234,-122.6762,82.35,20,0,21.85
171,Tiksi,RU,2022-09-10 03:32:41,71.6872,128.8694,38.77,97,100,9.6
172,Sao Jose Da Coroa Grande,BR,2022-09-10 03:35:17,-8.8978,-35.1478,72.09,88,54,3.2
173,Zvishavane,ZW,2022-09-10 03:35:18,-20.3267,30.0665,55.33,54,0,2.64
174,Inhambane,MZ,2022-09-10 03:35:18,-23.865,35.3833,64.76,86,0,5.12
175,Antofagasta,CL,2022-09-10 03:32:28,-23.65,-70.4,56.48,78,34,4.45
176,Karaman,TR,2022-09-10 03:35:19,37.0833,33.25,57.0,39,0,2.82
177,Talaya,RU,2022-09-10 03:36:19,61.3833,152.75,48.27,85,100,1.97
178,Heinola,FI,2022-09-10 03:36:19,61.2056,26.0381,37.99,92,65,2.59
179,Haines Junction,CA,2022-09-10 03:36:20,60.7522,-137.5108,48.15,57,32,5.75
180,Cabo San Lucas,MX,2022-09-10 03:36:20,22.8909,-109.9124,80.62,86,63,5.01
181,Carbonia,IT,2022-09-10 03:36:20,39.1672,8.5222,71.01,74,93,6.46
182,Olafsvik,IS,2022-09-10 03:36:21,64.8945,-23.7142,53.11,85,96,10.96
183,Longfeng,CN,2022-09-10 03:36:21,46.55,125.1167,81.73,29,26,11.72
184,Imbituba,BR,2022-09-10 03:36:21,-28.24,-48.6703,59.5,89,99,19.01
185,Abnub,EG,2022-09-10 03:36:21,27.2696,31.1511,75.42,59,0,10.8
186,Vanavara,RU,2022-09-10 03:36:22,60.34,102.2797,50.04,60,100,10.54
187,Kahului,US,2022-09-10 03:36:23,20.8947,-156.47,84.22,76,100,19.57
188,Bambanglipuro,ID,2022-09-10 03:36:23,-7.95,110.2833,82.72,73,40,10.11
189,Coquimbo,CL,2022-09-10 03:34:35,-29.9533,-71.3436,51.53,87,0,3.44
190,Wanxian,CN,2022-09-10 03:36:24,30.8039,108.3897,85.46,58,44,3.29
191,Areosa,PT,2022-09-10 03:36:24,41.7178,-8.8571,63.27,80,3,2.51
192,Iqaluit,CA,2022-09-10 03:36:24,63.7506,-68.5145,38.93,100,100,23.02
193,Margate,GB,2022-09-10 03:36:25,51.3813,1.3862,59.7,92,6,1.01
194,Chateauneuf-Les-Martigues,FR,2022-09-10 03:36:25,43.3833,5.1667,69.53,53,0,9.22
195,Lafia,NG,2022-09-10 03:36:25,8.4833,8.5167,71.58,93,95,2.89
196,Coahuayana,MX,2022-09-10 03:36:26,18.7333,-103.6833,77.36,95,100,1.99
197,Lebu,CL,2022-09-10 03:33:53,-37.6167,-73.65,44.98,87,1,16.04
198,Christchurch,NZ,2022-09-10 03:34:00,-43.5333,172.6333,57.33,76,75,20.71
199,Kuusamo,FI,2022-09-10 03:36:26,65.9667,29.1833,44.64,93,100,6.91
200,Arlit,NE,2022-09-10 03:36:26,18.7369,7.3853,92.01,18,91,6.62
201,Comodoro Rivadavia,AR,2022-09-10 03:35:32,-45.8667,-67.5,51.66,54,0,9.22
202,Hasaki,JP,2022-09-10 03:36:27,35.7333,140.8333,84.29,71,27,20.18
203,Deputatskiy,RU,2022-09-10 03:36:27,69.3,139.9,37.35,96,100,2.73
204,Gogrial,SS,2022-09-10 03:36:27,8.5332,28.1004,70.47,96,100,4.74
205,Bacalar,MX,2022-09-10 03:36:27,18.6667,-88.3833,80.71,89,75,0.0
206,Grindavik,IS,2022-09-10 03:36:28,63.8424,-22.4338,57.15,100,100,6.91
207,Plavinas,LV,2022-09-10 03:36:28,56.6178,25.7255,38.95,78,83,5.61
208,Port Blair,IN,2022-09-10 03:36:28,11.6667,92.75,84.24,74,75,12.66
209,Lima,PE,2022-09-10 03:31:30,-12.0432,-77.0282,59.9,85,100,12.66
210,Omboue,GA,2022-09-10 03:36:28,-1.5746,9.2618,74.91,86,100,6.87
211,Logan,US,2022-09-10 03:34:47,41.7355,-111.8344,66.22,34,100,12.66
212,Along,IN,2022-09-10 03:36:29,28.1667,94.7667,85.35,53,85,0.4
213,Nelson Bay,AU,2022-09-10 03:36:29,-32.7167,152.15,69.12,67,18,11.01
